The following is the bestiary how it appears in-game.  So if you are missing monsters in the menu, this list will tell you what you are missing.  If a monster has two names below,
it's because the first name is for Flavor A while the second name is for Flavor B. The name you see in-game will depend on which flavor of ASC you picked.

  	0000         ; Guard  
	007F         ; Frost	
	00C9         ; Mimic   
	0054         ; Tonberry   
	00A5         ; Mad Ogre  
	00AF         ; Cerberus   
	009E         ; Hecteyes		
	0060         ; Teratorn 	
	0088         ; GoldGiant 
	002B         ; Colussus   
	00C8         ; Vampiress   
	0029         ; Ghast   
	0070         ; Osteosaur 	
	00F0         ; Medusa	 	
	009A         ; Flood Naga  
	005E         ; Abyss Worm  	
	00E5         ; Blackwaltz/Red Waltz      
	00A6         ; Ging-Ryu    
	0067         ; Assassin  
	0024         ; WhiteDrake/Sun Drake  
	0087         ; Kamui     	
	00A2         ; Ahriman    
	0085         ; Dahling	
	00AC         ; PandoraBox  
	001E         ; Wart Puck 	
	00AB         ; Allurer    				
	000A         ; Joker  	
	0004         ; Samurai/Yokai 			
	0095         ; M-tekeagle   	
	00FE         ; Io    	
	006D         ; Lamia  
	0030         ; Wraith     	
	008A         ; Clay Golem/Iron Golem	 
	0007         ; BloodBones/Ronin  	
	0074         ; Oldenguard   		
	0051         ; Gargoyle 
	0045         ; Sleipnir			   		  			 	
	00F7         ; Remnant   	
	004A         ; Sekhmet  
	00C4         ; Wizard 	
	00BF         ; Lostsoul  	
	00C6         ; Catoblepas  
	0084         ; Brontaur 	 
	00EC         ; Tot Aevis  
	00D3         ; Ghoul 
	0096         ; Allosaurus   
	00B0         ; Hellhound  
	00CD         ; King Gigas   
	00BE         ; Giant Liz   
	0037         ; Trexaur  
	0034         ; White Croc/Great Croc	
	0027         ; Tyranosaur	
	00D7         ; Haniwa
	0026         ; Brachosaur	
	0055         ; Magic Pot 	
	0132         ; L.10 Magic	
	0130         ; L.20 Magic	
	0125         ; L.30 Magic	
	012B         ; L.40 Magic	
	0133         ; L.50 Magic
	0139         ; L.60 Magic	
	0143         ; L.70 Magic	
	0163         ; L.80 Magic	
	0164         ; L.90 Magic
	0009         ; Retainer   		   
	0092         ; Duelist  			
	00DA         ; Prototype   	   				  	    	
	00E0         ; GreatBeast	
	0080         ; Vampworm   	
	00B7         ; Evil Oscar	
	004F         ; Bolla   			
	00E4         ; Vectagoyle/Vectaurus	
	0041         ; Guard Bot/Monolith 
	00F6         ; Automaton   
	00EA         ; Redgiant/BlueGiant    
	00FC         ; Iron Lich/Death Mask 
	00ED         ; Searcher   
	006A         ; DarkDragon/NecroDemon    
	0025         ; Doom Drgn  		   	    	
	0081         ; Warrioress   	
	00C1         ; Hemophyte 
	00BD         ; Shinobi    
	000D         ; Oni			
	0016         ; Iron Giant	 	
	0056         ; Jumbo Flan  
	00FB         ; Evil Eye   	  		
	00F9         ; Didalos   	
	00A1         ; Dreadnaut	
	0035         ; Arch Beast 	
	00D6         ; Adamantor
	00D9         ; Omega 
	0078         ; Atlas 
	0137         ; Tyranosaur Upgraded
	011A         ; Rift Spawn 
	0178         ; Gilgamesh
	0114         ; Warmech 
	0115         ; Mazin 
	0179         ; Arch-Fiend
	016A         ; Arch-Fiend 2nd Form 
	0111         ; Tianlong
	016C         ; Tianlong 2nd Form
	017E         ; Rift Beast 
	0177         ; Elefenrir	
	0100         ; Whelk   	
	0134         ; Whelk Head  
	0144         ; Esper
	0102         ; Marshal    	
	0103         ; Vargas  
	014D         ; Ipooh      	
	012C         ; Ultros    
	013A         ; Merchant  		
	0175         ; Officer   
	013B         ; B.Day Suit	
	0104         ; TunnelArmr	
	014E         ; Leader
	0131         ; Ziegfried 	
	0156         ; Dark Bomb  
	0106         ; GhostTrain	
	0154         ; Caribe   	
	0155         ; Rizopas    
	014A         ; Kefka   
	0107         ; Dadaluma  	  	
	012D         ; Ultros  
	0108         ; Shiva     	
	0109         ; Ifrit     	
	010A         ; Number 024	
	010B         ; Number 128	
	013F         ; RightBlade	
	0140         ; Left Blade	
	010D         ; Crane     	
	010E         ; Crane    
	0116         ; FlameEater	
	012E         ; Ultros  
	012F         ; Chupon  	
	0168         ; Ultros    	 
	0113         ; Air Force 	
	0145         ; Laser Gun 	
	0147         ; MissileBay	
	0146         ; Speck     	
	0117         ; UltimaWeapon	
	0118         ; Nerapa    
	011B         ; Tentacle  	
	013C         ; Tentacle  	
	013D         ; Tentacle  	
	013E         ; Tentacle  	
	0101         ; Archdaemon 	
	011C         ; Tomb Guard  		
	016B         ; Phunbaba  	
	016D         ; Phunbaba  	
	011D         ; Doom Gaze 	
	0119         ; King Beast 1	
	0105         ; King Beast 2
	0169         ; Still Life  
	011E         ; Chadarnook	
	0148         ; Chadarnook	
	0142         ; Tonberries 	
	0110         ; Umaro  
	0136         ; Vargas Final
	014F         ; Defender
	011F         ; Curley    	
	0120         ; Larry     	
	0121         ; Moe       	
	0122         ; Wrexsoul  	
	0167         ; SoulSaver 
	0123         ; Hidon     	 		
	0160         ; Hidonite  	
	0161         ; Hidonite  	  	
	0138         ; Tonberking	
	0124         ; Yojimbo
	0126         ; Odin	
	0176         ; Gi Nattak 	
	0135         ; Magi-Pot Boss
	0166         ; MagiMaster	
	014B         ; Storm Drgn	
	014C         ; Earth Drgn
	0152         ; Flood Drgn 	
	0153         ; RubyDragon	
	0165         ; White Drgn/HolyDrgn
	0150         ; GoldDragon 	
	0151         ; Necro Drgn		
	0149         ; Ice Dragon	
	00FF         ; Sigfried    
	010C         ; SteelGiant   	
	0141         ; Absorber     	  		
	017D	     ; Ultima 
	010F         ; Uncle Ulty  
	0112         ; Guardian  	
	0127         ; Zalera      	
	0128         ; Minerva   	
	0129         ; Brynhildr	         
